table,cell,seed,method,sample,acc,nce
ER-Reg,sparse@0.05,0,fgnn_faq,12,0.956,939.0
ER-Reg,sparse@0.05,0,fgnn_faq,13,0.986,951.0
ER-Reg,sparse@0.05,0,fgnn_faq,14,0.968,988.0
ER-Reg,sparse@0.05,0,fgnn_faq,15,0.972,962.0
ER-Reg,sparse@0.05,0,fgnn_faq,16,0.954,892.0
ER-Reg,sparse@0.05,0,fgnn_faq,17,0.98,911.0
ER-Reg,sparse@0.05,0,fgnn_faq,18,0.964,896.0
ER-Reg,sparse@0.05,0,fgnn_faq,19,0.974,936.0
ER-Reg,sparse@0.05,0,fgnn_faq,20,0.99,970.0
ER-Reg,sparse@0.05,0,fgnn_faq,21,0.968,940.0
ER-Reg,sparse@0.05,0,fgnn_faq,22,0.964,950.0
ER-Reg,sparse@0.05,0,fgnn_faq,23,0.986,988.0
ER-Reg,sparse@0.05,0,fgnn_faq,24,0.964,967.0
ER-Reg,sparse@0.05,0,fgnn_faq,25,0.98,930.0
ER-Reg,sparse@0.05,0,fgnn_faq,26,0.982,998.0
ER-Reg,sparse@0.05,0,fgnn_faq,27,0.976,893.0
ER-Reg,sparse@0.05,0,fgnn_faq,28,0.978,957.0
ER-Reg,sparse@0.05,0,fgnn_faq,29,0.964,891.0
ER-Reg,sparse@0.05,0,chfgnn_proj,0,0.984,985.0
ER-Reg,sparse@0.05,0,chfgnn_proj,1,0.984,961.0
ER-Reg,sparse@0.05,0,chfgnn_proj,2,0.984,930.0
ER-Reg,sparse@0.05,0,chfgnn_proj,3,0.976,960.0
ER-Reg,sparse@0.05,0,chfgnn_proj,4,0.97,934.0
ER-Reg,sparse@0.05,0,chfgnn_proj,5,0.974,930.0
ER-Reg,sparse@0.05,0,chfgnn_proj,6,0.964,922.0
ER-Reg,sparse@0.05,0,chfgnn_proj,7,0.978,974.0
ER-Reg,sparse@0.05,0,chfgnn_proj,8,0.976,938.0
ER-Reg,sparse@0.05,0,chfgnn_proj,9,0.974,948.0
ER-Reg,sparse@0.05,0,chfgnn_proj,10,0.984,970.0
ER-Reg,sparse@0.05,0,chfgnn_proj,11,0.982,915.0
